User_ID,Signup_Date,Subscription_Plan,Monthly_Fee,Country,Device_Type,Last_Login_Date,Status,Total_Logins,Revenue
U00001,16-10-2025,Basic,499,Australia,Mobile,18-12-2025,Active,62,2495
U00002,23-11-2025,Premium,999,India,Mobile,24-04-2026,Active,113,1998
U00003,11-08-2024,Basic,499,Australia,Tablet,02-01-2025,Active,55,11477
U00004,12-07-2025,Basic,499,Singapore,Mobile,22-09-2025,Active,212,499
U00005,08-03-2025,Basic,499,Canada,Mobile,03-06-2025,Active,31,1497
U00006,02-01-2025,Premium,999,Germany,Mobile,14-01-2025,Active,191,14985
U00007,22-01-2025,Basic,499,Germany,Mobile,02-07-2025,Active,163,5988
U00008,12-03-2024,Basic,499,Singapore,Mobile,26-05-2024,Active,25,3992
U00009,24-01-2025,Basic,499,UK,Mobile,28-04-2025,Active,46,5988
U00010,17-11-2025,Basic,499,Australia,Mobile,02-05-2026,Churned,23,9980
U00011,30-06-2025,Premium,999,Australia,Tablet,06-10-2025,Active,74,20979
U00012,12-08-2024,Premium,999,Singapore,Laptop,27-08-2024,Churned,63,1998
U00013,14-02-2025,Basic,499,UK,Mobile,10-07-2025,Active,229,11477
U00014,02-11-2025,Basic,499,UK,Mobile,16-04-2026,Churned,122,2495
U00015,09-09-2024,Premium,999,Canada,Laptop,06-02-2025,Active,114,18981
U00016,12-08-2024,Enterprise,1999,Singapore,Mobile,17-12-2024,Active,28,3998
U00017,05-06-2024,Premium,999,Canada,Laptop,22-09-2024,Churned,157,2997
U00018,02-09-2025,Enterprise,1999,Australia,Tablet,22-01-2026,Active,225,1999
U00019,27-04-2024,Premium,999,UK,Mobile,05-07-2024,Active,201,20979
U00020,27-10-2024,Basic,499,Germany,Mobile,03-01-2025,Active,133,2994
U00021,02-10-2025,Basic,499,UK,Mobile,07-03-2026,Active,55,2495
U00022,06-07-2025,Enterprise,1999,Canada,Mobile,07-07-2025,Churned,158,21989
U00023,24-04-2024,Enterprise,1999,USA,Tablet,12-07-2024,Churned,66,3998
